,line,station,id,code,uic,name_short,name_medium,name_long,slug,country,type,geo_lat,geo_lng
0,'s-Hertogenbosch - Eindhoven,'s-Hertogenbosch,266.0,HT,8400319.0,Den Bosch,'s-Hertogenbosch,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362
1,'s-Hertogenbosch - Eindhoven,Vught,482.0,VG,8400667.0,Vught,Vught,Vught,vught,NL,stoptreinstation,51.655555725098,5.2919445037842
2,'s-Hertogenbosch - Eindhoven,Boxtel,109.0,BTL,8400129.0,Boxtel,Boxtel,Boxtel,boxtel,NL,knooppuntStoptreinstation,51.58433,5.31912
3,'s-Hertogenbosch - Eindhoven,Best,73.0,BET,8400112.0,Best,Best,Best,best,NL,stoptreinstation,51.509998321533004,5.389166831970201
4,'s-Hertogenbosch - Eindhoven,Eindhoven Strijp-S,784.0,EHS,8400196.0,Strijp-S,Strijp-S,Eindhoven Strijp-S,eindhoven-strijp-s,NL,stoptreinstation,51.451110839844,5.4558334350586
5,'s-Hertogenbosch - Eindhoven,Eindhoven Centraal,168.0,EHV,8400206.0,Eindhovn C,Eindhoven C.,Eindhoven Centraal,eindhoven-centraal,NL,megastation,51.443332672119,5.4813890457153
6,'s-Hertogenbosch - Nijmegen,'s-Hertogenbosch,266.0,HT,8400319.0,Den Bosch,'s-Hertogenbosch,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362
7,'s-Hertogenbosch - Nijmegen,'s-Hertogenbosch Oost,269.0,HTO,8400320.0,Dn Bosch O,'s-Hertogenb. O.,'s-Hertogenbosch Oost,s-hertogenbosch-oost,NL,stoptreinstation,51.700553894043,5.3183331489563
8,'s-Hertogenbosch - Nijmegen,Rosmalen,404.0,RS,8400524.0,Rosmalen,Rosmalen,Rosmalen,rosmalen,NL,stoptreinstation,51.714721679688,5.3680553436279
9,'s-Hertogenbosch - Nijmegen,Oss West,383.0,OW,8400496.0,Oss W,Oss W.,Oss West,oss-west,NL,stoptreinstation,51.758056640625,5.505555629730201
10,'s-Hertogenbosch - Nijmegen,Oss,367.0,O,8400495.0,Oss,Oss,Oss,oss,NL,knooppuntIntercitystation,51.765556335449,5.5322222709656
11,'s-Hertogenbosch - Nijmegen,Ravenstein,416.0,RVS,8400515.0,Ravenstein,Ravenstein,Ravenstein,ravenstein,NL,stoptreinstation,51.794166564940994,5.6358332633972
12,'s-Hertogenbosch - Nijmegen,Wijchen,502.0,WC,8400710.0,Wijchen,Wijchen,Wijchen,wijchen,NL,stoptreinstation,51.811668395996,5.7308335304260005
13,'s-Hertogenbosch - Nijmegen,Nijmegen Dukenburg,356.0,NMD,8400475.0,Dukenburg,Dukenburg,Nijmegen Dukenburg,nijmegen-dukenburg,NL,stoptreinstation,51.824165344238004,5.7955555915833
14,'s-Hertogenbosch - Nijmegen,Nijmegen Goffert,762.0,NMGO,8400477.0,Goffert,Goffert,Nijmegen Goffert,nijmegen-goffert,NL,stoptreinstation,51.8273,5.822722
15,'s-Hertogenbosch - Nijmegen,Nijmegen,355.0,NM,8400470.0,Nijmegen,Nijmegen,Nijmegen,nijmegen,NL,knooppuntIntercitystation,51.843612670898,5.852222442626901
16,'s-Hertogenbosch - Tilburg,'s-Hertogenbosch,266.0,HT,8400319.0,Den Bosch,'s-Hertogenbosch,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362
17,'s-Hertogenbosch - Tilburg,Tilburg,453.0,TB,8400597.0,Tilburg,Tilburg,Tilburg,tilburg,NL,knooppuntIntercitystation,51.560554504395,5.083611011505099
18,'s-Hertogenbosch - Utrecht Centraal,'s-Hertogenbosch,266.0,HT,8400319.0,Den Bosch,'s-Hertogenbosch,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362
19,'s-Hertogenbosch - Utrecht Centraal,Zaltbommel,528.0,ZBM,8400732.0,Zaltbommel,Zaltbommel,Zaltbommel,zaltbommel,NL,stoptreinstation,51.80888748169001,5.263333320617701
20,'s-Hertogenbosch - Utrecht Centraal,Geldermalsen,198.0,GDM,8400244.0,Geldermlsn,Geldermalsen,Geldermalsen,geldermalsen,NL,knooppuntStoptreinstation,51.88301,5.2712699999999995
21,'s-Hertogenbosch - Utrecht Centraal,Culemborg,116.0,CL,8400154.0,Culemborg,Culemborg,Culemborg,culemborg,NL,stoptreinstation,51.946666717529,5.2269444465637
22,'s-Hertogenbosch - Utrecht Centraal,Houten Castellum,268.0,HTNC,8400335.0,Castellum,Castellum,Houten Castellum,houten-castellum,NL,stoptreinstation,52.01701,5.17949
23,'s-Hertogenbosch - Utrecht Centraal,Houten,267.0,HTN,8400340.0,Houten,Houten,Houten,houten,NL,knooppuntStoptreinstation,52.03402,5.16821
24,'s-Hertogenbosch - Utrecht Centraal,Utrecht Lunetten,796.0,UTLN,8400623.0,Lunetten,Lunetten,Utrecht Lunetten,utrecht-lunetten,NL,stoptreinstation,52.06555557250999,5.144166469574
25,'s-Hertogenbosch - Utrecht Centraal,Utrecht Vaartsche Rijn,797.0,UTVR,8400606.0,VaartscheR,Vaartsche Rijn,Utrecht Vaartsche Rijn,utrecht-vaartsche-rijn,NL,knooppuntStoptreinstation,52.078889000000004,5.1216669999999995
26,'s-Hertogenbosch - Utrecht Centraal,Utrecht Centraal,467.0,UT,8400621.0,Utrecht C,Utrecht C.,Utrecht Centraal,utrecht-centraal,NL,megastation,52.088890075684006,5.1102776527405
27,Aachen Hbf - Heerlen,Heerlen,261.0,HRL,8400307.0,Heerlen,Heerlen,Heerlen,heerlen,NL,knooppuntIntercitystation,50.89083480835,5.9749999046325994
28,Aachen Hbf - Heerlen,Landgraaf,312.0,LG,8400548.0,Landgraaf,Landgraaf,Landgraaf,landgraaf,NL,knooppuntStoptreinstation,50.896389007568,6.0191664695739995
29,Aachen Hbf - Heerlen,Eygelshoven Markt,166.0,EGHM,8400234.0,Eygelsh M,Eygelshoven Mrkt,Eygelshoven Markt,eygelshoven-markt,NL,stoptreinstation,50.896049819644006,6.0602474212646
30,Aachen Hbf - Heerlen,Herzogenrath,,,,,,,,,,,
31,Aachen Hbf - Heerlen,Aachen West,,,,,,,,,,,
32,Aachen Hbf - Heerlen,Aachen Hbf,,,,,,,,,,,
33,Alkmaar - Amsterdam Centraal,Alkmaar,26.0,AMR,8400050.0,Alkmaar,Alkmaar,Alkmaar,alkmaar,NL,knooppuntIntercitystation,52.63777923584001,4.7397222518921
34,Alkmaar - Amsterdam Centraal,Heiloo,246.0,HLO,8400309.0,Heiloo,Heiloo,Heiloo,heiloo,NL,stoptreinstation,52.599445343018,4.700555324554401
35,Alkmaar - Amsterdam Centraal,Castricum,113.0,CAS,8400151.0,Castricum,Castricum,Castricum,castricum,NL,intercitystation,52.545833587646,4.658611297607401
36,Alkmaar - Amsterdam Centraal,Uitgeest,468.0,UTG,8400615.0,Uitgeest,Uitgeest,Uitgeest,uitgeest,NL,knooppuntStoptreinstation,52.521667480469,4.7016668319702
