,TimeStamp,line,station,id,code,uic,name_short,name_medium,name_long,slug,country,type,geo_lat,geo_lng,travelers,travelers_num
0,2020-07-08 20:04:59,'s-Hertogenbosch - Eindhoven,'s-Hertogenbosch,266.0,HT,8400319.0,Den Bosch,'s-Hertogenbosch,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362,"47.347 (2018)[1] per dag
",47347
1,2020-07-08 20:04:59,'s-Hertogenbosch - Eindhoven,Vught,482.0,VG,8400667.0,Vught,Vught,Vught,vught,NL,stoptreinstation,51.655555725098,5.2919445037842,"1852 (2018)[1] per dag
",1852
2,2020-07-08 20:04:59,'s-Hertogenbosch - Eindhoven,Boxtel,109.0,BTL,8400129.0,Boxtel,Boxtel,Boxtel,boxtel,NL,knooppuntStoptreinstation,51.58433,5.31912,"6428 (2018)[1] per dag
",6428
3,2020-07-08 20:04:59,'s-Hertogenbosch - Eindhoven,Best,73.0,BET,8400112.0,Best,Best,Best,best,NL,stoptreinstation,51.509998321533004,5.389166831970201,"6027 (2018)[1] per dag
",6027
4,2020-07-08 20:04:59,'s-Hertogenbosch - Eindhoven,Eindhoven Strijp-S,784.0,EHS,8400196.0,Strijp-S,Strijp-S,Eindhoven Strijp-S,eindhoven-strijp-s,NL,stoptreinstation,51.451110839844,5.4558334350586,"3184 (2018)[1] per dag
",3184
5,2020-07-08 20:04:59,'s-Hertogenbosch - Eindhoven,Eindhoven Centraal,168.0,EHV,8400206.0,Eindhovn C,Eindhoven C.,Eindhoven Centraal,eindhoven-centraal,NL,megastation,51.443332672119,5.4813890457153,"65.468 (2018)[1] per dag
",65468
6,2020-07-08 20:04:59,'s-Hertogenbosch - Nijmegen,'s-Hertogenbosch,266.0,HT,8400319.0,Den Bosch,'s-Hertogenbosch,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362,"47.347 (2018)[1] per dag
",47347
7,2020-07-08 20:04:59,'s-Hertogenbosch - Nijmegen,'s-Hertogenbosch Oost,269.0,HTO,8400320.0,Dn Bosch O,'s-Hertogenb. O.,'s-Hertogenbosch Oost,s-hertogenbosch-oost,NL,stoptreinstation,51.700553894043,5.3183331489563,"1271 (2018)[1] per dag
",1271
8,2020-07-08 20:04:59,'s-Hertogenbosch - Nijmegen,Rosmalen,404.0,RS,8400524.0,Rosmalen,Rosmalen,Rosmalen,rosmalen,NL,stoptreinstation,51.714721679688,5.3680553436279,"2528 (2018)[1] per dag
",2528
9,2020-07-08 20:04:59,'s-Hertogenbosch - Nijmegen,Oss West,383.0,OW,8400496.0,Oss W,Oss W.,Oss West,oss-west,NL,stoptreinstation,51.758056640625,5.505555629730201,"2061 (2018)[1] per dag
",2061
10,2020-07-08 20:04:59,'s-Hertogenbosch - Nijmegen,Oss,367.0,O,8400495.0,Oss,Oss,Oss,oss,NL,knooppuntIntercitystation,51.765556335449,5.5322222709656,"8270 (2018)[1] per dag
",8270
